Fecha,Descripción,Monto,Categoría,País,Monto (USD),Cuotas,Ciudad
2025-02-18,COMPRA MERPAGO*MARI CL,7900.0,,,,,
2025-02-18,COMPRA COPEC ASISTI CL,76858.0,,,,,
2025-02-18,TEF A KUPFER HERMANOS SA,35000.0,,,,,
2025-02-18,TEF BANCOESTADO A ABARCA MUNOZ CAMI,42000.0,,,,,
2025-02-19,COMPRA MERPAGO*FERR CL,29000.0,,,,,
2025-02-19,COMPRA AGROFOOD     CL,3000.0,,,,,
2025-02-21,TEF A ROJAS PRADO LUIS ALEJANDRO,40000.0,,,,,
2025-02-21,COMPRA UNIMARC PUCO CL,40090.0,,,,,
2025-02-21,COMPRA IMPORTADORA  CL,14570.0,,,,,
2025-02-26,FACEBK*,30352.5,Total  Compras,IRLANDA,31.95,,
2025-02-25,FiverrEU,283033.5,Total  Compras,CHIPRE,297.93,,
2025-02-24,FLIPSKY.NET,499700.0,Total  Compras,FRANCIA,526.0,,
2025-02-17,FACEBK*,11960.5,Total  Compras,IRLANDA,12.59,,
2025-02-17,www.aliexpress.com,81700.0,Total  Compras,REINO UNIDO,86.0,,
2025-02-12,www.aliexpress.com,24586.0,Total  Compras,REINO UNIDO,25.88,,
2025-02-11,www.aliexpress.com,18183.0,Total  Compras,REINO UNIDO,19.14,,
2025-02-11,FACEBK*,27094.0,Total  Compras,IRLANDA,28.52,,
2025-02-08,FACEBK*,24576.5,Total  Compras,IRLANDA,25.87,,
2025-02-06,www.aliexpress.com,95237.5,Total  Compras,REINO UNIDO,100.25,,
2025-02-05,FACEBK*,22182.5,Total  Compras,IRLANDA,23.35,,
2025-02-04,ENVATO *70023600,64362.5,Total  Compras,ESTADOS UNIDOS,67.75,,
2025-02-02,FACEBK*,19921.5,Total  Compras,IRLANDA,20.97,,
2025-02-01,FACEBK*,18116.5,Total  Compras,IRLANDA,19.07,,
2025-02-01,FACEBK*,16463.5,Total  Compras,IRLANDA,17.33,,
2025-01-31,FACEBK*,14934.0,Total  Compras,IRLANDA,15.72,,
