Fecha,Descripción,Monto,Categoría,País,Monto (USD),Cuotas,Ciudad
2025-02-26,MERPAGO*BLUEFOX SER SANTIAGO,775.0,"Total de Pagos, Compras, Cuotas y Avance",,,01/01,
2025-02-12,"EBEST CL TASA INT. 0,00%",38833.0,"Total de Pagos, Compras, Cuotas y Avance",,,02/12,
2025-03-27,"IMPUESTO DECRETO LEY 3475 TASA 0,066%",1289.0,"Total Cargos, Comisiones, Impuestos y Abonos",,,01/01,
2025-03-27,INTERESES ROTATIVOS,32130.0,"Total Cargos, Comisiones, Impuestos y Abonos",,,01/01,
2025-03-18,"IMPUESTO DECRETO LEY 3475 TASA 0,396%",2133.0,"Total Cargos, Comisiones, Impuestos y Abonos",,,01/01,
2025-03-17,00.ANULACION COMPRA: MERCADOPAGO*MARYC,31990.0,"Total Cargos, Comisiones, Impuestos y Abonos",,,01/01,
2025-03-13,TRASPASO DEUDA INTERNACIONAL,1312608.0,"Total Cargos, Comisiones, Impuestos y Abonos",,,01/01,
2025-03-03,INVERSIONES LD SPA       CAUTIN       CL,4870.0,,,,01/01,
2025-03-03,LIDER.CL TIENDA WEBPAY   SANTIAGO     CL,77300.0,,,,01/01,
2025-03-03,MERCADOPAGOALIPAYSINGAPOLas Condes   CL,230642.0,,,,01/01,
2025-03-03,MERPAGOBLUEFOX SERVICIOSSANTIAGO     CL,1825.0,,,,01/01,
2025-03-03,AFUNAYUN                 PUCON        CL,4400.0,,,,01/01,
2025-02-27,LIDER.CL TIENDA WEB COMPRAS,61480.0,,,,01/01,SANTIAGO
2025-02-26,SumUp * Luis Ignaci COMPRAS,6450.0,,,,01/01,Pucon
2025-02-26,MERPAGO*BLUEFOX SER COMPRAS,1300.0,,,,01/01,SANTIAGO
2025-02-26,MERPAGO*BLUEFOX SER COMPRAS,775.0,,,,01/01,SANTIAGO
2025-02-26,MERPAGO*R Y R SPA R COMPRAS,7550.0,,,,01/01,PUCON
2025-02-26,BOULEVARD CENTRAL E COMPRAS,11800.0,,,,01/01,PUCON
2025-04-01,DLOCAL GOOGLE ADS CL    SANTIAGO     CL,29321.0,,,,01/01,
2025-03-31,MERCADOPAGO*ALIPAYS COMPRAS,48253.0,,,,01/01,LAS CONDES
2025-03-31,SUMUP * LUIS IGNACI COMPRAS,4600.0,,,,01/01,PUCON
2025-03-31,SUPERMERCADO PUCON COMPRAS,26306.0,,,,01/01,PUCON
2025-03-31,AFUNAYUN COMPRAS,11000.0,,,,01/01,PUCON
2025-03-30,PASAJEBUS COMPRAS,24100.0,,,,01/01,SANTIAGO
2025-03-30,PASAJEBUS COMPRAS,36300.0,,,,01/01,SANTIAGO
2025-03-29,LATAM.COM XP OTRAS COMPRAS,45074.0,,,,01/01,SANTIAGO
2025-03-29,LATAM.COM XP OTRAS COMPRAS,45074.0,,,,01/01,SANTIAGO
2025-03-26,SUMUP * LUIS IGNACI COMPRAS,1210.0,,,,01/01,PUCON
2025-03-03,FACEBK                  DUBLIN       IE,39748.0,,,41.84,,
2025-02-28,FACEBK* COMPRAS INT.VI,36442.0,,IRLANDA,38.36,,
2025-02-26,FiverrEU COMPRAS INT.VI,13870.0,,CHIPRE,14.6,,
2025-02-26,FACEBK *QPTS7JLE42 COMPRAS INT.VI,33383.0,,IRLANDA,35.14,,
2025-04-02,www.aliexpress.com       LONDON       GB,19152.0,,,20.16,,
2025-04-01,Viator Limited           London       GB,27550.0,,,29.0,,
2025-03-29,FACEBK *3APWXMQE42 COMPRAS INT.VI,53513.5,,IRLANDA,56.33,,
