fecha,categoria,monto
2025-02-22 13:00:00,ingreso operativo,152982.0
2025-02-22 13:00:00,costo operativo,35000.0
2025-02-22 19:00:00,costo operativo,35000.0
2025-02-22 19:00:00,ingreso operativo,139980.0
2025-02-23 09:00:00,ingreso operativo,194950.0
2025-02-23 09:00:00,costo operativo,35000.0
2025-02-23 14:00:00,ingreso operativo,194950.0
2025-02-23 14:00:00,costo operativo,35000.0
2025-02-23 18:00:00,ingreso operativo,139980.0
2025-02-23 18:00:00,costo operativo,35000.0
2025-02-24 18:00:00,ingreso operativo,178146.0
2025-02-24 18:00:00,costo operativo,35000.0
2025-02-25 14:00:00,ingreso operativo,0.0
2025-02-25 14:00:00,costo operativo,35000.0
2025-02-25 18:00:00,costo operativo,35000.0
2025-02-25 18:00:00,ingreso operativo,97475.0
2025-02-26 00:00:00,costos variables,98000.0
2025-02-26 00:00:00,Costos de Marketing,33383.0
2025-02-26 00:00:00,Costos de Marketing,30352.5
2025-02-27 18:00:00,ingreso operativo,139980.0
2025-02-27 18:00:00,costo operativo,35000.0
2025-02-28 00:00:00,Costos de Marketing,36442.0
2025-02-28 14:00:00,costo operativo,35000.0
2025-02-28 14:00:00,ingreso operativo,219950.0
2025-02-28 18:00:00,costo operativo,35000.0
2025-02-28 18:00:00,ingreso operativo,194950.0
2025-03-03 00:00:00,Costos de Marketing,39748.0
2025-03-05 00:00:00,costos fijos,250000.0
2025-03-05 00:00:00,costos fijos,19285.0
2025-03-05 18:00:00,ingreso operativo,139980.0
2025-03-05 18:00:00,costo operativo,35000.0
2025-03-06 00:00:00,Costos de Marketing,45058.5
2025-03-06 00:00:00,costos fijos,250000.0
2025-03-08 18:00:00,ingreso operativo,143968.0
2025-03-08 18:00:00,costo operativo,35000.0
2025-03-09 13:00:00,ingreso operativo,143968.0
2025-03-09 13:00:00,costo operativo,35000.0
2025-03-12 00:00:00,Costos de Marketing,49362.0
2025-03-12 18:00:00,costo operativo,35000.0
2025-03-12 18:00:00,ingreso operativo,139980.0
2025-03-14 18:00:00,ingreso operativo,159980.0
2025-03-14 18:00:00,costo operativo,35000.0
2025-03-17 00:00:00,Costos de Marketing,8464.5
2025-03-17 00:00:00,Costos de Marketing,2565.0
2025-03-20 00:00:00,Costos de Marketing,10000.0
2025-03-20 13:00:00,costo operativo,35000.0
2025-03-20 13:00:00,ingreso operativo,164970.0
2025-03-20 18:00:00,costo operativo,35000.0
2025-03-20 18:00:00,ingreso operativo,139980.0
2025-03-29 00:00:00,Costos de Marketing,53513.5
2025-04-01 00:00:00,Costos de Marketing,29321.0
2025-04-03 00:00:00,costos fijos,19403.0
2025-04-09 18:00:00,ingreso operativo,159980.0
2025-04-09 18:00:00,costo operativo,35000.0
2025-04-11 00:00:00,Costos de Marketing,30000.0
2025-04-11 18:00:00,costo operativo,35000.0
2025-04-11 18:00:00,ingreso operativo,179960.0
2025-04-12 16:00:00,costo operativo,35000.0
2025-04-12 16:00:00,ingreso operativo,191970.0
2025-04-14 16:00:00,costo operativo,35000.0
2025-04-14 16:00:00,ingreso operativo,125982.0
2025-04-15 17:00:00,costo operativo,35000.0
2025-04-15 17:00:00,ingreso operativo,125982.0
2025-04-17 00:00:00,Costos de Marketing,51528.0
2025-04-17 10:00:00,costo operativo,35000.0
2025-04-17 10:00:00,ingreso operativo,97986.0
2025-04-17 17:00:00,ingreso operativo,148473.0
2025-04-17 17:00:00,costo operativo,35000.0
2025-04-18 14:00:00,costo operativo,35000.0
2025-04-18 14:00:00,ingreso operativo,125982.0
